"jumpTimes","jumpSizes"
0,100
3064,99.5619570972508
7329,99.0914890697051
11663,98.7044925573825
18351,98.3419067405457
25181,97.7956162269449
27381,98.4614007070859
30107,98.3572636515943
31215,99.5536387834844
38733,100.508743984019
45678,101.792194583382
49293,103.67731042761
62369,104.178339306711
62859,105.156834622193
71071,106.106124073475
74498,107.229808882015
75074,108.334494101291
89108,108.787021711727
91059,108.080112995437
91466,108.86780119928
95542,109.146043273536
95994,110.58103932171
98586,110.305493505572
99924,109.160254647671
101655,107.398681187004
104632,108.109180276881
106106,108.958509325645
130773,107.063702880018
131382,107.65377063551
132114,107.612082541407
134431,107.883075626422
138137,107.09316141623
139173,107.178151361562
141022,108.392838913231
147726,110.153086200429
151668,110.749440545114
160883,112.057175189004
163489,111.688127845837
170854,110.531391025348
177564,110.090459943158
178311,109.903831903373
193005,110.117376939193
203387,109.131602625746
212880,109.063967329609
223048,109.377625483251
242934,109.29349405003
255640,110.050685671694
261764,111.045092157135
263403,109.883901085321
267260,109.687008761998
268999,110.451054599138
270282,110.554626619494
272696,110.498801725784
293894,110.841723294775
298469,111.314405210221
